RecordID	SeverityName	MessageID	Severity	MsgDLLName	Component	MachineName	Time	SiteCode	InsString1	InsString2	InsString3	InsString4	InsString5	InsString6	InsString7	InsString8	InsString9	InsString10
72057594038364984	Informational	500	1073741824	srvmsgs.dll	SMS_NOTIFICATION_SERVER	CM01.asd.net	2019-09-15 04:10:49.733	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364989	Informational	500	1073741824	srvmsgs.dll	SMS_NOTIFICATION_MANAGER	CM01.asd.net	2019-09-15 04:10:49.657	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364978	Informational	500	1073741824	srvmsgs.dll	SMS_MP_FILE_DISPATCH_MANAGER	CM01.asd.net	2019-09-15 04:10:49.593	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364979	Informational	9702	1073741824	srvmsgs.dll	SMS_DMP_DOWNLOADER	CM01.asd.net	2019-09-15 04:10:49.547	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364977	Informational	500	1073741824	srvmsgs.dll	SMS_MP_CONTROL_MANAGER	CM01.asd.net	2019-09-15 04:10:49.530	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364991	Informational	500	1073741824	srvmsgs.dll	SMS_MIGRATION_MANAGER	CM01.asd.net	2019-09-15 04:10:49.497	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364983	Informational	500	1073741824	srvmsgs.dll	SMS_MESSAGE_PROCESSING_ENGINE	CM01.asd.net	2019-09-15 04:10:49.450	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364987	Informational	500	1073741824	srvmsgs.dll	SMS_LICENSE_MANAGER	CM01.asd.net	2019-09-15 04:10:49.437	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364985	Informational	500	1073741824	srvmsgs.dll	SMS_LAN_SENDER	CM01.asd.net	2019-09-15 04:10:49.390	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364980	Informational	500	1073741824	srvmsgs.dll	SMS_ISVUPDATES_SYNCAGENT	CM01.asd.net	2019-09-15 04:10:49.343	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364974	Informational	500	1073741824	srvmsgs.dll	SMS_DATABASE_NOTIFICATION_MONITOR	CM01.asd.net	2019-09-15 04:10:49.343	PS1	SMS_DATABASE_NOTIFICATION_MONITOR	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364986	Informational	500	1073741824	srvmsgs.dll	SMS_INVENTORY_PROCESSOR	CM01.asd.net	2019-09-15 04:10:49.297	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364988	Informational	500	1073741824	srvmsgs.dll	SMS_INVENTORY_DATA_LOADER	CM01.asd.net	2019-09-15 04:10:49.187	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364973	Informational	500	1073741824	srvmsgs.dll	SMS_INBOX_MONITOR	CM01.asd.net	2019-09-15 04:10:49.123	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364976	Informational	500	1073741824	srvmsgs.dll	SMS_INBOX_MANAGER	CM01.asd.net	2019-09-15 04:10:49.060	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364982	Informational	500	1073741824	srvmsgs.dll	SMS_HIERARCHY_MANAGER	CM01.asd.net	2019-09-15 04:10:49.030	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364968	Informational	500	1073741824	srvmsgs.dll	SMS_FALLBACK_STATUS_POINT	CM01.asd.net	2019-09-15 04:10:48.997	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364960	Informational	500	1073741824	srvmsgs.dll	SMS_FAILOVER_MANAGER	CM01.asd.net	2019-09-15 04:10:48.937	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364970	Informational	500	1073741824	srvmsgs.dll	SMS_EN_ADSERVICE_MONITOR	CM01.asd.net	2019-09-15 04:10:48.843	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364972	Informational	500	1073741824	srvmsgs.dll	SMS_ENDPOINT_PROTECTION_MANAGER	CM01.asd.net	2019-09-15 04:10:48.797	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364971	Informational	500	1073741824	srvmsgs.dll	SMS_DMP_UPLOADER	CM01.asd.net	2019-09-15 04:10:48.763	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364967	Informational	500	1073741824	srvmsgs.dll	SMS_DMP_DOWNLOADER	CM01.asd.net	2019-09-15 04:10:48.733	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364962	Informational	500	1073741824	srvmsgs.dll	SMS_DISTRIBUTION_MANAGER	CM01.asd.net	2019-09-15 04:10:48.687	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364966	Informational	500	1073741824	srvmsgs.dll	SMS_DISCOVERY_DATA_MANAGER	CM01.asd.net	2019-09-15 04:10:48.483	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364961	Informational	500	1073741824	srvmsgs.dll	SMS_DESPOOLER	CM01.asd.net	2019-09-15 04:10:48.420	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364959	Informational	500	1073741824	srvmsgs.dll	SMS_DATABASE_NOTIFICATION_MONITOR	CM01.asd.net	2019-09-15 04:10:48.310	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364963	Informational	500	1073741824	srvmsgs.dll	SMS_COMPONENT_STATUS_SUMMARIZER	CM01.asd.net	2019-09-15 04:10:48.263	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364965	Informational	500	1073741824	srvmsgs.dll	SMS_COMPONENT_MONITOR	CM01.asd.net	2019-09-15 04:10:48.217	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364958	Informational	500	1073741824	srvmsgs.dll	SMS_COLLECTION_EVALUATOR	CM01.asd.net	2019-09-15 04:10:48.140	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364969	Informational	500	1073741824	srvmsgs.dll	SMS_CLOUD_USERSYNC	CM01.asd.net	2019-09-15 04:10:48.093	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364964	Informational	500	1073741824	srvmsgs.dll	SMS_CLOUD_SERVICES_MANAGER	CM01.asd.net	2019-09-15 04:10:48.060	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364943	Informational	500	1073741824	srvmsgs.dll	SMS_CLOUD_PROXYCONNECTOR	CM01.asd.net	2019-09-15 04:10:47.967	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364946	Informational	500	1073741824	srvmsgs.dll	SMS_CLOUDCONNECTION	CM01.asd.net	2019-09-15 04:10:47.920	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
