
name                                          kind      url                                          
----                                          ----      ---                                          
QUICK_FIX_ENGINEERING                         EntitySet QUICK_FIX_ENGINEERING                        
RAX_APPLICATION                               EntitySet RAX_APPLICATION                              
REGISTRY                                      EntitySet REGISTRY                                     
SCSI_CONTROLLER                               EntitySet SCSI_CONTROLLER                              
SERIAL_PORT_CONFIGURATION                     EntitySet SERIAL_PORT_CONFIGURATION                    
SERIAL_PORT                                   EntitySet SERIAL_PORT                                  
SERVER_FEATURE                                EntitySet SERVER_FEATURE                               
SERVICE                                       EntitySet SERVICE                                      
SHARE                                         EntitySet SHARE                                        
SMS_ADVANCED_CLIENT_STATE                     EntitySet SMS_ADVANCED_CLIENT_STATE                    
SOFTWARE_LICENSING_PRODUCT                    EntitySet SOFTWARE_LICENSING_PRODUCT                   
SOFTWARE_LICENSING_SERVICE                    EntitySet SOFTWARE_LICENSING_SERVICE                   
SOFTWARE_SHORTCUT                             EntitySet SOFTWARE_SHORTCUT                            
SOFTWARE_TAG                                  EntitySet SOFTWARE_TAG                                 
SOUND_DEVICE                                  EntitySet SOUND_DEVICE                                 
SYSTEM_ACCOUNT                                EntitySet SYSTEM_ACCOUNT                               
SYSTEM_CONSOLE_USAGE                          EntitySet SYSTEM_CONSOLE_USAGE                         
SYSTEM_CONSOLE_USER                           EntitySet SYSTEM_CONSOLE_USER                          
SYSTEM_DEVICES                                EntitySet SYSTEM_DEVICES                               
SYSTEM_DRIVER                                 EntitySet SYSTEM_DRIVER                                
SYSTEM_ENCLOSURE                              EntitySet SYSTEM_ENCLOSURE                             
SYSTEMHEALTHAGENT                             EntitySet SYSTEMHEALTHAGENT                            
TAPE_DRIVE                                    EntitySet TAPE_DRIVE                                   
TIME_ZONE                                     EntitySet TIME_ZONE                                    
TPM_STATUS                                    EntitySet TPM_STATUS                                   
TPM                                           EntitySet TPM                                          
TS_ISSUED_LICENSE                             EntitySet TS_ISSUED_LICENSE                            
TS_LICENSE_KEY_PACK                           EntitySet TS_LICENSE_KEY_PACK                          
USB_CONTROLLER                                EntitySet USB_CONTROLLER                               
USB_DEVICE                                    EntitySet USB_DEVICE                                   
USER_PROFILE                                  EntitySet USER_PROFILE                                 
VIDEO_CONTROLLER                              EntitySet VIDEO_CONTROLLER                             
VIRTUAL_APPLICATION_PACKAGES                  EntitySet VIRTUAL_APPLICATION_PACKAGES                 
VIRTUAL_APPLICATIONS                          EntitySet VIRTUAL_APPLICATIONS                         
VIRTUAL_MACHINE_64                            EntitySet VIRTUAL_MACHINE_64                           
VIRTUAL_MACHINE_EXT                           EntitySet VIRTUAL_MACHINE_EXT                          
VIRTUAL_MACHINE                               EntitySet VIRTUAL_MACHINE                              
VOLUME                                        EntitySet VOLUME                                       
WEBAPP_APPLICATION                            EntitySet WEBAPP_APPLICATION                           
WINDOWS8_APPLICATION_USER_INFO                EntitySet WINDOWS8_APPLICATION_USER_INFO               
WINDOWS8_APPLICATION                          EntitySet WINDOWS8_APPLICATION                         
WINDOWSUPDATEAGENTVERSION                     EntitySet WINDOWSUPDATEAGENTVERSION                    
WINDOWSUPDATE                                 EntitySet WINDOWSUPDATE                                
WORKSTATION_STATUS                            EntitySet WORKSTATION_STATUS                           
WRITE_FILTER_STATE                            EntitySet WRITE_FILTER_STATE                           
X86_PC_MEMORY                                 EntitySet X86_PC_MEMORY                                
SYSTEM                                        EntitySet SYSTEM                                       
History                                       EntitySet History                                      
ExtHistory                                    EntitySet ExtHistory                                   
SoftwareProduct                               EntitySet SoftwareProduct                              
SoftwareFile                                  EntitySet SoftwareFile                                 
CollectedFile                                 EntitySet CollectedFile                                
UnknownFile                                   EntitySet UnknownFile                                  
LastSoftwareScan                              EntitySet LastSoftwareScan                             
UAComputerStatus                              EntitySet UAComputerStatus                             
Client_ComanagementState                      EntitySet Client_ComanagementState                     
ConditionalAccessCompliance                   EntitySet ConditionalAccessCompliance                  
G_User                                        EntitySet G_User                                       
UserDCMDeploymentState                        EntitySet UserDCMDeploymentState                       
UserDCMDeploymentErrorAssetDetails            EntitySet UserDCMDeploymentErrorAssetDetails           
UserDCMDeploymentCompliantAssetDetails        EntitySet UserDCMDeploymentCompliantAssetDetails       
UserDCMDeploymentNonCompliantAssetDetails     EntitySet UserDCMDeploymentNonCompliantAssetDetails    
G_UserGroup                                   EntitySet G_UserGroup                                  
MeteredFiles                                  EntitySet MeteredFiles                                 
ImageDeploymentAgent                          EntitySet ImageDeploymentAgent                         
ObjectContainerNode                           EntitySet ObjectContainerNode                          
ObjectContainerItem                           EntitySet ObjectContainerItem                          
DeviceDiscoveryTranslation                    EntitySet DeviceDiscoveryTranslation                   
StateMigration                                EntitySet StateMigration                               
CategoryInstanceBase                          EntitySet CategoryInstanceBase                         
CategoryInstance                              EntitySet CategoryInstance                             
UpdateCategoryInstance                        EntitySet UpdateCategoryInstance                       
ConfigurationItemBaseClass                    EntitySet ConfigurationItemBaseClass                   
ConfigurationItem                             EntitySet ConfigurationItem                            
ConfigurationPlatform                         EntitySet ConfigurationPlatform                        
Application                                   EntitySet Application                                  
ApplicationPublishingItem                     EntitySet ApplicationPublishingItem                    
DeploymentType                                EntitySet DeploymentType                               
ApplicationTechnology                         EntitySet ApplicationTechnology                        
SoftwareUpdateBase                            EntitySet SoftwareUpdateBase                           
SoftwareUpdate                                EntitySet SoftwareUpdate                               
ConfigurationBaselineInfo                     EntitySet ConfigurationBaselineInfo                    
Driver                                        EntitySet Driver                                       
GlobalCondition                               EntitySet GlobalCondition                              
MAMPolicyTemplate                             EntitySet MAMPolicyTemplate                            
VirtualEnvironment                            EntitySet VirtualEnvironment                           
AuthorizationList                             EntitySet AuthorizationList                            
ConfigurationPolicyBase                       EntitySet ConfigurationPolicyBase                      
ConfigurationPolicy                           EntitySet ConfigurationPolicy                          
FirewallPolicy                                EntitySet FirewallPolicy                               
SettingsDefinitionBase                        EntitySet SettingsDefinitionBase                       
FirewallSettings                              EntitySet FirewallSettings                             
